Gene name,Bone_TA,Brain,Brain_female,Cerebellum_female,Embryonic_fibroblast_cells,Embryonic_stem_cells,Heart,Intestine_TA,Kidney,Liver,Lung,Muscle_TA,Ovaries,Pancreas,Skin,Spinal_cord_female,Spleen_TA,Testes
Mmu-Mir-21_pri,22048.98,897.40,2713.61,2834.97,34647.66,12072.66,178.08,23033.13,4119.01,3761.09,2464.02,2353.75,1514.82,2640.17,6459.77,6806.45,63871.23,1754.49
Mmu-Mir-22-P1b_pri,11414.57,290.70,16178.14,7245.65,1957.36,523.33,159.61,5097.08,621.42,235.98,269.82,40376.58,450.11,625.61,312.44,17193.23,3740.71,706.01
Mmu-Mir-23-P3_pri,581.35,280.41,10750.64,4888.52,3218.78,1105.05,117.07,275.33,460.82,42.52,971.36,632.72,623.57,590.89,2631.29,10888.58,921.03,302.95
Mmu-Mir-23-P2_pri,217.94,281.27,13028.53,8715.61,1383.06,519.01,33.73,514.91,317.91,36.85,248.99,326.84,238.14,439.84,998.20,18794.92,543.71,102.74
Mmu-Mir-24-P3_pri,473.25,547.74,4785.33,2727.59,1456.92,1218.94,84.85,455.45,507.09,67.09,952.19,684.64,190.66,279.93,754.08,4605.42,2102.89,84.30
Mmu-Mir-24-P2_pri,473.20,547.74,4785.33,2727.59,1456.92,1218.94,84.85,455.41,507.09,67.09,952.19,684.64,190.66,279.93,754.08,4605.42,2102.91,84.30
Mmu-Mir-26-P1_pri,26066.64,1844.97,66376.20,104883.06,1037.13,2854.53,124.81,10493.51,1297.74,227.01,1565.59,50211.10,1630.34,2174.11,1351.51,62807.63,26405.64,1016.87
Mmu-Mir-26-P4_pri,26067.10,1845.18,66372.54,104879.63,1036.79,2853.81,124.81,10493.90,1298.15,227.01,1566.01,50211.82,1630.34,2174.48,1351.29,62805.97,26406.60,1016.87
Mmu-Mir-26-P2_pri,7124.92,511.30,4620.35,7661.04,647.14,2926.62,128.24,2885.50,1552.52,398.74,1091.16,2632.61,709.56,1859.46,1061.62,8148.14,8305.19,634.88
Mmu-Mir-27-P3_pri,588.99,14.36,329.40,202.66,200.58,255.90,12.89,429.41,164.09,1.65,75.22,408.26,105.80,228.97,591.47,402.18,869.89,47.42
Mmu-Mir-27-P2_pri,5732.65,175.58,1139.93,776.78,557.70,296.99,50.48,6491.51,489.40,21.26,206.90,8121.41,193.28,821.71,270.94,1653.35,5498.67,102.74
Mmu-Mir-28-P1_pri,43.41,4.07,191.21,252.61,173.14,54.06,1.50,67.13,13.37,4.49,11.88,41.23,45.61,13.30,45.76,146.74,153.18,7.90
Mmu-Mir-28-P2_pri,395.26,59.38,3551.77,2201.41,29.14,80.73,7.30,312.78,64.98,5.43,46.46,696.73,38.13,41.73,76.83,4483.90,770.02,31.61
Mmu-Mir-28-P3_pri,8.16,210.74,1802.40,460.51,11.86,901.77,0.64,8.50,6.79,0.24,2.50,7.75,146.17,21.05,187.72,1281.76,3.47,18.44
Mmu-Mir-29-P1b-v1_pri,183.93,826.44,1459.46,652.89,242.59,171.56,25.99,266.71,431.42,80.79,143.14,58.20,29.53,332.01,75.13,1627.31,739.08,126.45
Mmu-Mir-29-P1b-v2_pri,183.93,826.44,1459.46,652.89,242.59,171.56,25.99,266.75,431.42,80.79,143.14,58.22,29.53,332.01,75.13,1627.31,739.14,126.45
Mmu-Mir-29-P1d-v1_pri,187.69,871.25,1461.72,654.50,248.69,171.56,28.36,272.03,457.94,97.56,151.27,59.18,29.91,335.33,75.77,1630.21,765.27,129.08
Mmu-Mir-29-P1d-v2_pri,187.69,871.25,1461.72,654.50,248.69,171.56,28.36,272.07,457.94,97.56,151.27,59.20,29.91,335.33,75.77,1630.21,765.33,129.08
Mmu-Mir-29-P2b_pri,1163.89,22917.36,12205.59,7595.36,12657.95,4496.61,1508.65,704.22,9794.86,1868.50,9792.53,731.85,3116.37,8934.26,3384.30,9300.53,4531.26,3983.16
Mmu-Mir-29-P2d_pri,63.31,1039.11,1853.72,1402.88,52.86,367.63,90.44,101.30,623.68,146.46,346.91,207.97,56.45,918.83,162.39,2019.99,332.79,134.35
Mmu-Mir-30-P1b_pri,13489.23,3275.75,5010.10,6426.97,1443.03,5249.17,679.68,13844.50,9101.67,1816.06,7355.81,45182.96,1630.71,4545.42,2090.90,6279.44,26517.01,3780.31
Mmu-Mir-30-P1d_pri,17249.72,395.32,5584.30,4641.54,72.85,1543.32,81.84,7490.85,882.78,117.64,142.52,7945.86,117.01,247.80,260.51,6461.31,13112.57,358.27
Mmu-Mir-30-P1a_pri,11687.36,1800.59,8194.41,10000.44,401.16,1888.61,306.76,4476.82,2021.36,295.75,2441.52,7188.11,1103.96,968.69,1257.86,7856.74,14401.42,1599.06
Mmu-Mir-30-P2b_pri,4111.75,183.30,500.87,726.62,18.97,467.11,28.57,2319.86,322.43,59.53,148.35,4629.59,158.14,240.79,107.69,558.01,3769.85,173.87
Mmu-Mir-30-P2d_pri,4111.77,183.30,500.87,726.62,18.97,467.11,28.57,2320.05,322.43,59.53,148.14,4629.65,158.14,240.79,107.48,558.01,3770.13,173.87
Mmu-Mir-30-P2a_pri,1226.83,15.65,69.38,170.63,3.39,58.39,2.15,681.38,21.18,0.47,25.63,679.09,17.94,39.15,32.78,90.93,1618.88,36.88
Mmu-Mir-31_pri,12.17,146.85,1148.95,155.72,2173.86,409.44,10.10,679.98,42.98,155.20,132.10,1.09,91.97,77.92,216.67,406.73,7.24,52.69
Mmu-Mir-32_pri,36.66,0.64,1.97,2.62,6.10,54.78,0,38.52,6.99,1.65,2.08,2.90,0.75,5.91,1.28,10.33,85.77,5.27
Mmu-Mir-33-P3_pri,12.81,46.09,0.56,0.81,38.96,526.21,1.29,8.23,80.20,3.07,12.92,0.71,3.74,59.83,21.71,0.00,34.61,15.81
Mmu-Mir-34-P1_pri,34.33,10.08,855.93,2575.50,18.64,233.55,0.21,79.32,3.29,0.24,0.83,20.57,0.37,4.06,9.79,6505.12,87.43,28.98
Mmu-Mir-34-P2a_pri,0.48,53.38,5.92,3.02,49.13,55.50,0.43,2.42,8.43,0.47,203.36,0.70,31.78,8.86,3.83,6.20,4.83,2573.78
Mmu-Mir-34-P2b_pri,6.63,2367.20,437.98,398.87,6710.99,2070.26,22.34,36.41,226.81,16.30,11187.48,14.87,6607.33,1112.72,118.12,361.26,30.77,401753.96
Mmu-Mir-34-P3c_pri,4.61,2.36,33.84,21.76,1.69,1.44,0,1.55,0,0,13.75,0.32,12.34,6.28,0.64,23.97,2.92,887.78
Mmu-Mir-34-P3b_pri,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmu-Mir-34-P3a_pri,7.75,0.86,0,0,1.02,3.60,0,3.86,0,0,12.29,0.17,21.31,0.74,0.64,0.41,6.72,376.71
Mmu-Mir-92-P1a_pri,10326.26,180.94,51.61,32.43,440.80,57900.17,56.28,1822.09,555.41,113.86,232.32,473.05,333.47,794.75,8190.34,87.21,18277.59,1119.61
Mmu-Mir-92-P1c_pri,1438.91,5.15,7.05,6.85,16.94,44160.93,3.44,111.64,29.61,0.94,6.46,44.19,18.69,35.82,6064.54,21.08,1822.29,28.98
Mmu-Mir-92-P2d_pri,4360.37,729.97,33.28,30.02,3726.00,47726.21,291.72,816.92,1614.62,232.68,1373.07,204.47,2761.59,2347.68,6504.68,48.36,2431.41,6140.71
Mmu-Mir-92-P1d_pri,13.93,313.21,1307.45,607.56,4.74,687.68,0.21,10.42,7.40,0.00,33.96,4.44,34.77,7.02,15.75,2153.49,8.96,13.17
Mmu-Mir-92-P2c_pri,22.34,0.43,1.13,1.41,1.36,4501.66,0.00,2.99,6.17,0.24,0.63,0.98,1.12,1.48,9.15,8.27,40.47,2.63
Mmu-Mir-92-P2a_pri,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0
Mmu-Mir-95-P2_pri,75.73,33.87,113.09,74.13,40.32,485.13,0.43,12.55,10.49,0.47,2.29,5.79,5.61,2.95,3.83,138.88,30.81,5.27
Mmu-Mir-95-P4_pri,0.02,2.14,46.25,28.00,0,0,0,0.02,0,0,0.83,0.03,0,0,0,45.88,0,0
Mmu-Mir-96-P1_pri,1.39,0.43,193.18,18.33,1.36,2889.13,0,85.52,5.55,1.42,5.21,1.05,0,8.12,57.68,88.87,8.05,0
Mmu-Mir-96-P2_pri,76.26,1.50,999.20,178.08,6.10,2460.95,0,5786.35,11.72,2.83,15.42,107.90,26.92,675.83,87.48,582.81,310.15,44.78
Mmu-Mir-96-P3-v1_pri,22.41,0.43,1473.84,93.67,7.45,785.00,0,2025.55,4.73,0.71,5.63,39.52,2.62,81.25,31.93,388.12,144.43,7.90
Mmu-Mir-96-P3-v2_pri,22.36,0.43,1473.84,93.67,7.45,785.00,0,2025.28,4.73,0.71,5.63,39.47,2.62,81.25,31.93,388.12,143.97,7.90
Mmu-Mir-101-P1-v2_pri,661.19,1491.45,61.48,80.78,420.81,6181.22,169.70,473.86,3215.67,128.98,1110.33,605.80,1120.41,4659.17,1619.04,58.28,2111.92,3638.06
Mmu-Mir-101-P1-v1_pri,658.91,1491.45,61.48,80.78,420.81,6181.22,169.70,472.30,3215.67,128.98,1110.33,601.03,1120.41,4659.17,1619.04,58.28,2104.27,3638.06
Mmu-Mir-101-P2-v2_pri,436.75,868.67,867.78,671.42,1108.62,9084.77,55.42,217.87,399.13,1625.66,441.09,208.10,481.89,1621.26,872.41,1233.82,950.22,1783.47
Mmu-Mir-101-P2-v1_pri,435.79,868.67,867.78,671.42,1108.62,9084.77,55.42,217.66,399.13,1625.66,441.09,207.02,481.89,1621.26,872.41,1233.82,948.55,1783.47
Mmu-Mir-103-P4_pri,1560.83,38759.92,2962.07,2739.48,12715.89,75364.01,1247.00,1105.55,18134.87,3796.05,14849.34,301.51,18581.93,8255.48,16254.47,3072.76,1167.04,37091.87
