Gene name,Bone_TA,Brain,Brain_female,Cerebellum_female,Embryonic_fibroblast_cells,Embryonic_stem_cells,Heart,Intestine_TA,Kidney,Liver,Lung,Muscle_TA,Ovaries,Pancreas,Skin,Spinal_cord_female,Spleen_TA,Testes
Mmu-Mir-430-P6_pri,0.07,0,0,0,0.34,36993.60,0,0.02,0,0,0,0,0.37,0,0.21,0,0.30,2.63
Mmu-Mir-430-P7a_pri,0,0,0,0,0,24480.51,0,0,0,0,0,0,0,0,0,0,0.01,0
Mmu-Mir-430-P7b_pri,0,0,0,0,0,1891.49,0,0,0,0,0,0,0,0,0,0,0,0
Mmu-Mir-430-P7c_pri,0.02,0,0,0,0,28277.18,0,0,0,0,0,0,0,0,0,0,0.05,0
Mmu-Mir-431_pri,0.23,0.43,242.82,83.40,10.16,59.11,0,1.21,0,0,0,4.14,1.12,0,1.70,134.75,0.62,0
Mmu-Mir-433_pri,0.27,2654.90,751.87,356.36,1834.71,6303.04,1.93,1.02,2.88,2.36,3.75,5.45,79.26,40.99,196.45,666.72,0.33,36.88
Mmu-Mir-448_pri,0,81.89,43.15,73.93,1.36,0,0,0.08,0,0,1.25,0.03,0,0,0,47.95,0,0
Mmu-Mir-450-P2_pri,55.69,1.07,34.41,26.19,5.76,82.18,0.86,7.45,10.08,0,5.00,12.09,19.44,5.17,21.92,35.55,44.18,10.54
Mmu-Mir-450-P1_pri,55.67,1.07,34.41,26.19,5.76,82.18,0.86,7.45,10.28,0,5.00,12.09,19.44,5.17,21.92,35.55,44.16,10.54
Mmu-Mir-450-P3_pri,1.55,1.93,2.54,1.21,18.30,96.59,2.36,0.13,13.16,2.36,16.67,0.37,48.97,5.91,30.65,2.89,0.58,21.07
Mmu-Mir-451_pri,52458.27,253.18,82.63,185.73,0.68,2.88,83.35,944.76,359.86,17.48,119.60,440.38,266.55,258.88,109.82,581.57,12315.73,65.86
Mmu-Mir-452-v1_pri,0.27,0.21,0,0.20,23.72,43.25,0.21,0.77,1.65,1.42,8.75,0.11,2.99,2.59,3.83,0.83,0.79,0
Mmu-Mir-452-v2_pri,0.27,0.21,0,0.20,23.72,40.37,0.21,0.77,1.65,1.42,8.75,0.09,2.99,2.59,2.77,0.83,0.77,0
Mmu-Mir-455_pri,19.17,7.50,7.90,10.68,9.83,112.45,0.64,23.09,43.39,19.84,7.92,2.41,2.99,3.32,45.33,20.67,102.71,7.90
Mmu-Mir-459_pri,0.25,0.00,0.28,0.00,0,0,0,569.68,0.00,0.94,0,0.18,0,355.64,0,0.00,0.56,0.00
Mmu-Mir-483_pri,0.00,13.72,0.56,0.81,444.87,12.98,0.21,0.02,0.62,0,0.63,0.98,2.24,1.11,5.75,0.00,0.05,0
Mmu-Mir-486_pri,70389.37,28.30,272.43,354.55,2.03,4.33,43.18,844.50,59.63,0.94,5.83,42643.79,29.16,22.53,72.58,546.02,37354.89,5.27
Mmu-Mir-488_pri,0.50,9.86,53.58,12.69,0.34,0,0,1.90,0,0,0,0.79,0,0,0,35.13,0.25,0
Mmu-Mir-489_pri,0.16,0.21,0,0.20,0,0,0,0.02,0,0,0.21,1.41,0,0,0,0,0,0
Mmu-Mir-490_pri,0.50,22.72,1.69,1.01,0,0,7.95,114.08,0.21,0,7.50,0.84,1.12,1.11,0.64,4.55,7.14,0
Mmu-Mir-491_pri,0.48,1.50,25.66,12.69,0.00,3.60,0,0.35,0,0.24,0,0.42,0.37,0.00,0,44.23,0.57,0
Mmu-Mir-493_pri,0.02,2.79,29.33,5.04,30.83,17.30,0,0.33,0,0,0,5.34,0,0,6.81,11.16,0.00,0
Mmu-Mir-499_pri,0.59,20.79,21.72,33.24,4.74,3052.04,356.81,0.06,3.29,0,2.50,11.83,0.75,0,2.55,37.20,0.85,28.98
Mmu-Mir-504-v1_pri,0.27,5.57,0.00,0,3.05,1.44,1.50,0.40,0.21,0,0,1.80,0.75,0,1.92,0.41,5.63,7.90
Mmu-Mir-504-v2_pri,0.27,5.57,0.00,0,3.05,1.44,1.50,0.40,0.21,0,0,1.80,0.75,0,1.92,0.41,5.63,7.90
Mmu-Mir-505-v1_pri,1.71,27.23,6.77,1.81,4.40,25.23,0.43,0.10,5.55,6.38,6.25,0.30,7.48,0.37,5.53,3.31,0.24,2.63
Mmu-Mir-505-v2_pri,1.71,27.23,6.77,1.81,4.40,25.23,0.43,0.10,5.55,6.38,6.25,0.30,7.48,0.37,5.53,3.31,0.24,2.63
Mmu-Mir-506-P1_pri,0.07,0,3.38,2.62,0,0,0,0.10,0,0,0,0.32,2.24,0,0,0.83,0.28,50.05
Mmu-Mir-506-P2_pri,0,0,0.85,1.61,0,0,0.21,0,0.21,0,0,0.05,0.37,0.74,0,0.83,0.06,63.22
Mmu-Mir-506-P7_pri,0,0
Mmu-Mir-506-P14_pri,0,0,0,0,0,1.44,0,0,0,0,0,0.01,0,0.37,0,0,0,42.15
Mmu-Mir-506-P15a_pri,0.11,0,0.28,0.40,0,65.60,0,0,0,0.24,0,0,48.60,19.57,0,0,0,5885.17
Mmu-Mir-506-P15b1_pri,0.11,0,0.28,0.40,0,65.60,0,0,0,0.24,0,0,48.60,19.57,0,0.00,0.00,5885.17
Mmu-Mir-506-P15b2_pri,0.11,0,0.28,0.40,0,65.60,0,0,0,0.24,0,0,48.60,19.57,0,0.00,0.00,5885.17
Mmu-Mir-506-P15c1_pri,0.11,0,0.28,0.40,0,64.88,0,0,0,0.24,0,0.00,48.60,19.57,0.00,0.00,0.00,5885.17
Mmu-Mir-506-P15c2_pri,0.11,0,0.28,0.40,0,64.88,0,0,0,0.24,0,0.00,48.60,19.57,0.00,0.00,0.00,5885.17
Mmu-Mir-506-P15d_pri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63
Mmu-Mir-506-P16_pri,0.52,0.21,0,0.20,0,98.03,0,0.04,0,0,0,0.18,31.40,34.35,0,0,0.08,4299.29
Mmu-Mir-506-P17_pri,0.02,0,0,0,0,8.65,0,0,0,0,0,0,0.37,0.74,0,0,0,216.02
Mmu-Mir-506-P18_pri,0.02,0,0.28,1.01,0,23.79,0,0,0,0,0,0.05,1.12,1.48,0,0.00,0.01,387.25
Mmu-Mir-506-P19_pri,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0.74,0,0,0,52.69
Mmu-Mir-506-P20_pri,0,0,0,0,0,5.05,0,0,0,0,0,0,6.36,4.06,0,0.41,0,616.44
Mmu-Mir-506-P21_pri,0.05,0.21,0,0,0,60.55,0.21,0,0,0,0,0.06,136.08,69.43,0,0,0.01,23941.12
Mmu-Mir-506-P22_pri,0.57,0.21,0.00,0.20,0,9.37,0,0,0,0,0,0.35,2.24,5.91,0,0.00,0.36,550.58
Mmu-Mir-506-P23_pri,0,0,0,0,0,49.74,0,0,0,0,0,0,8.22,7.39,0.21,0,0.01,1873.03
Mmu-Mir-506-P24_pri,0,0,0,0,0,5.05,0,0,0,0,0,0,5.61,3.69,0,0,0.01,442.57
Mmu-Mir-506-P25_pri,0.07,0,0,0,0,35.32,0,0,0,0,0,0.05,32.52,37.67,0,0,0.01,11470.03
Mmu-Mir-506-P26_pri,0,0,0,0,0,17.30,0,0,0,0,0,0,20.19,12.19,0,0,0,2766.08
Mmu-Mir-506-P27_pri,0,0,0,0,0,2.16,0,0,0,0,0,0,0.75,0.74,0,0,0,250.26
Mmu-Mir-511_pri,19.45,3.22,1.13,0.81,0,0,3.01,2.76,4.73,12.05,11.46,3.42,14.58,7.39,41.72,0.41,29.66,71.13
Mmu-Mir-540_pri,0.25,22.08,76.99,31.83,63.02,539.19,0,0.58,0.00,0.24,0.21,2.19,2.24,0.00,16.60,38.85,0.18,5.27
Mmu-Mir-541_pri,27.15,1325.30,1241.46,468.57,1076.43,7048.39,4.73,129.59,7.61,8.50,14.17,425.53,179.07,175.79,400.34,874.62,43.52,155.43
Mmu-Mir-542_pri,30.73,4.07,1.13,2.22,35.58,412.32,1.29,3.65,17.27,3.07,33.34,2.29,44.11,12.56,36.39,1.24,30.13,79.03
Mmu-Mir-544_pri,0,2.36,15.51,6.04,0,0,0,0.02,0,0,0,0.02,0,0,0.21,13.64,0,0
Mmu-Mir-551-P2_pri,0.09,5.36,6.20,0.60,0,0,0,0.08,0.82,0,0,0.01,0,0,0,1.24,0.51,0
Mmu-Mir-574_pri,39.96,2.57,12.13,6.65,50.82,28.11,0.64,62.01,1.85,0.00,3.13,14.34,17.57,11.08,17.88,16.95,43.36,2.63
Mmu-Mir-582-v1_pri,6.57,3.00,11.28,22.16,2.37,40.37,0,29.46,1.65,0,1.46,0.86,0.37,5.54,1.28,9.92,3.23,0.00
Mmu-Mir-582-v2_pri,25.58,6.86,4.23,6.24,4.07,21.63,0,35.58,5.76,0,3.75,1.71,1.87,19.20,2.13,4.55,5.18,13.17
Mmu-Mir-592_pri,15.32,2.79,174.01,55.00,0,0,0,2.63,0,0,0,1.65,0,0,0,48.77,6.68,0
Mmu-Mir-598_pri,1.71,4983.94,3126.49,7833.88,62.34,299.87,6.44,14.45,86.16,22.68,47.71,1.21,0.75,5.91,36.61,5003.46,6.58,15.81
Mmu-Mir-599_pri,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
Mmu-Mir-615_pri,4.45,0,0.85,13.09,1.36,0,0,1.71,0.82,0,0,23.84,0.37,0,1.49,2006.35,0.33,0
Mmu-Mir-652_pri,35.18,5.57,768.23,553.17,54.21,83.62,0.64,7.35,3.70,0,3.33,2.05,12.71,14.40,16.60,437.73,30.21,7.90
Mmu-Mir-653_pri,3.10,0,0.56,0.40,0,0.72,0,0.04,0.00,0,0.21,7.54,0,0,0,0.83,0.02,0
Mmu-Mir-666_pri,0.21,27.01,17.49,6.65,38.96,159.31,0.43,0.84,0,0,0,3.22,2.24,1.11,4.90,19.01,0.28,0
Mmu-Mir-667_pri,0.09,0.64,56.40,13.70,6.78,7.21,0,0.23,0,0,0,0.41,0.37,0,0.21,54.15,0.05,0
Mmu-Mir-670_pri,0.02,0.00,0.56,1.61,0,0,0,0.69,0,0,0,0.13,0,0,0,0.41,0.38,2.63
Mmu-Mir-671_pri,12.15,4.07,249.31,75.74,2.37,7.93,0,5.22,0.82,1.18,0.42,3.20,0.75,4.06,0.43,186.83,6.90,0
Mmu-Mir-672_pri,0.73,497.58,136.22,37.27,92.16,7312.94,2.79,0.61,87.39,1.42,156.68,0.20,1373.13,149.57,52.57,73.57,0.85,1369.87
Mmu-Mir-673_pri,0.43,4.72,24.25,6.45,18.97,265.99,0,3.28,0.21,0,0,10.31,1.12,1.11,4.68,4.55,1.39,0
Mmu-Mir-674_pri,6.13,125.41,1058.71,508.25,457.41,632.18,4.30,2.11,23.44,2.83,30.00,2.37,49.35,19.20,56.83,592.31,6.40,26.34
Mmu-Mir-675_pri,0,0,0,0.00,1.02,0.00,0,0,0,0,0,0.52,0,0,0.21,0,0,0
Mmu-Mir-676_pri,105.57,176.65,295.84,64.46,54.21,270.32,12.03,15.28,42.98,17.95,52.30,29.38,169.35,651.83,305.84,144.26,22.50,200.21
Mmu-Mir-700_pri,12.49,1.29,2.26,7.25,0.00,24.51,0.00,5.45,0.00,0,0.00,1.67,0.00,2.22,2.34,7.44,10.82,0.00
Mmu-Mir-701_pri,0.09,0,7.33,6.45,0,0,0,0.04,0,0,0,0.03,0,0,0,18.60,0.27,0
Mmu-Mir-744_pri,229.61,991.08,714.36,163.37,416.07,2632.51,12.46,31.59,350.19,34.96,176.48,54.53,197.39,134.06,818.78,759.72,68.62,184.41
Mmu-Mir-760_pri,0.02,44.59,40.05,12.89,0.68,10.09,0.21,0.02,0.41,0,0.21,0,0.75,0,1.06,24.39,0.02,10.54
Mmu-Mir-770_pri,0,311.50,25.66,5.64,66.75,105.24,0,0,0,0,0,0.02,0.75,0,1.28,18.19,0,5.27
Mmu-Mir-872_pri,41.40,63.46,961.41,715.14,196.52,601.18,2.58,14.20,109.19,3.31,32.09,22.42,84.49,42.84,150.26,1015.99,35.53,403.06
Mmu-Mir-873-v1_pri,0.50,52.31,104.91,25.58,3.73,0,0,0.58,0,0.24,0,0.03,0,0.00,0.21,76.05,0.07,0
Mmu-Mir-873-v2_pri,0.50,52.31,104.91,25.58,3.73,0,0,0.58,0,0.24,0,0.03,0,0.00,0.21,76.05,0.07,0
Mmu-Mir-874_pri,12.99,7.29,195.44,132.35,0,2.16,0,3.51,4.32,0.71,0,6.88,1.50,4.80,0.85,164.51,19.55,0
Mmu-Mir-875_pri,0.05,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.06,0
Mmu-Mir-877_pri,3.94,31.51,18.33,8.66,28.80,63.43,0.64,0.77,6.99,2.13,2.29,0.41,5.61,2.95,3.83,16.12,1.63,2.63
Mmu-Mir-879_pri,16.57,18.22,4.79,2.82,1.36,2.16,0,7.60,0,0,1.67,0.64,0,0.37,0,7.03,5.41,2.63
Mmu-Mir-935-v1_pri,0.11,7.50,22.00,7.86,0,116.06,0,0.15,0,0,0,0.02,0,0,0,10.33,0.22,0
Mmu-Mir-935-v2_pri,0.11,7.50,22.00,7.86,0,116.06,0,0.15,0,0,0,0.02,0,0,0,10.33,0.22,0
Mmu-Mir-1198_pri,57.84,6.43,82.35,35.66,2.37,12.25,0,19.71,3.29,0.94,1.25,6.79,0.75,1.48,19.58,50.84,38.09,0
Mmu-Mir-1247_pri,0.55,0.21,31.59,6.85,0,2.16,0.21,0.15,0.00,0,0,2.14,0.75,0.00,0.21,6.20,0.48,0.00
Mmu-Mir-1249_pri,29.04,2.79,216.59,51.97,6.10,3.60,0,6.56,0.41,0,0.21,38.94,0,0.00,1.49,205.84,33.78,0
Mmu-Mir-1251_pri,0,0.43,0.56,0.40,0.68,0,0,0,0,0,0,0,0,0,0,3.31,0,0
Mmu-Mir-1271_pri,0,0
Mmu-Mir-1298_pri,0.02,173.22,329.40,397.25,0.68,0.72,0,0.35,0.21,0.24,46.26,0.34,0,0,0,153.35,0,0
Mmu-Mir-1306_pri,4.01,1.29,23.13,8.26,3.05,15.14,0.21,0.63,0.62,0.24,0.63,0.59,1.12,0.37,3.19,25.21,1.68,2.63
Mmu-Mir-1912_pri,0,2.14,3.38,1.41,0.34,0,0,0,0,0,1.67,0.02,0,0,0,0,0,0
Mmu-Mir-1929_pri,0.25,1.29,0,0.20,2.71,25.95,0,0.08,0.62,0,0.21,0.04,0.37,1.48,2.13,0,0.27,0
Mmu-Mir-1930_pri,0.41,0.43,0.56,0,1.02,0,0.21,0.13,0.41,0,0,0.11,0,0,0.21,0.83,0.12,2.63
Mmu-Mir-1933_pri,2.21,0.21,0.00,0.00,0.68,0.72,0,0.17,0.21,0.24,0,2.00,0,0,1.92,0.41,0.51,0
Mmu-Mir-1934_pri,0.09,0.64,0.28,0.00,4.07,28.83,0,0.06,0.82,0.24,0,0.00,0.37,0.37,1.92,0.00,0.08,2.63
Mmu-Mir-1941-v1_pri,0.18,0.43,1.41,0,0.68,2.16,0.21,0.00,1.44,0,6.88,0.08,0.37,0,2.98,0.41,0.36,0
Mmu-Mir-1941-v2_pri,0.18,0.43,1.41,0,0.68,2.16,0.21,0.00,1.44,0,6.46,0.08,0.37,0,2.77,0.41,0.36,0
Mmu-Mir-1943_pri,7.48,1.72,0.56,1.21,3.05,7.21,1.07,2.53,1.23,0,1.88,25.66,1.50,1.85,2.77,0.83,11.12,0
Mmu-Mir-1947_pri,5.84,3.64,0.85,0.20,3.73,15.86,0.43,2.28,4.73,0.47,1.04,3.59,2.24,1.85,1.49,1.24,2.47,7.90
Mmu-Mir-1948_pri,1.53,0,1.13,0.40,0,4.33,0.21,0.44,7.81,83.62,0.42,0.17,5.61,1.48,4.26,0.00,0.88,0
Mmu-Mir-1953_pri,0.14,0.21,0,0,0,7.21,0,0.06,0,0,0,0.01,0,0,0.43,0,0.02,0
Mmu-Mir-1955_pri,2.87,0,2.26,1.01,0.34,1.44,0,0.48,0.21,0,0.42,1.68,0.75,0,0.21,1.65,3.03,0
Mmu-Mir-1958_pri,0.07,0.21,0,0,3.39,5.77,0,0.06,0.82,0.94,0,0.09,0.75,4.06,0.64,0,0.05,0
Mmu-Mir-1960_pri,0.52,0,0.28,0,3.05,6.49,0,0.08,0.62,0,0,0.16,0.37,1.11,0.43,0.83,0.13,7.90
Mmu-Mir-1962_pri,0.00,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.00,0
Mmu-Mir-1964_pri,8.07,0,0,0.00,0,5.77,1.93,0.56,8.23,0.47,3.75,1.66,2.24,1.85,10.85,1.24,4.27,0
Mmu-Mir-3057_pri,3.28,1.50,3.67,2.01,1.69,10.81,0.21,1.29,0.82,0,0,5.01,0.37,0.37,0.21,2.48,1.31,0
Mmu-Mir-3058_pri,0.25,0,0.28,0.20,0,0,0,0.10,0.82,0,0,0.25,0,0.37,0,0.83,0.23,0
Mmu-Mir-3059_pri,0.07,0,23.69,10.27,0,0,0,0.02,0,0,0,0.05,0,0,0,34.31,0,0
Mmu-Mir-3060_pri,0.16,0.43,0.56,0.20,0.68,0,0,0.04,0.21,0,0.21,0.02,0.37,0.74,0,1.24,0.12,0
Mmu-Mir-3061_pri,1.80,1.07,9.59,8.46,1.36,1.44,0,0.54,0.21,0,0,6.57,0,1.11,0,12.81,0.90,0
Mmu-Mir-3066_pri,2.51,0.21,2.82,1.01,5.08,22.35,0.21,0.54,0.41,0.71,0.63,0.30,1.50,1.48,0.85,1.24,2.82,7.90
Mmu-Mir-3067_pri,0,0,0,0.40,0,0,0,0,0,0,0,0.02,0,0,0,0.41,0,0
Mmu-Mir-3068_pri,17.46,33.44,162.44,86.42,3.05,28.83,0.43,11.46,13.98,4.25,10.83,7.44,5.98,21.79,8.30,203.78,38.81,26.34
Mmu-Mir-3072_pri,0,0.00,68.25,15.71,3.39,20.90,0,0.19,0,0,0,0.20,0.00,0,0.21,42.99,0.02,0
Mmu-Mir-3073_pri,0,0,0,0.00,0,0.72,0,0.10,0,0,0,0.01,0,0,0,0,0,0
Mmu-Mir-3073-as_pri,0,0,0,0,0,0,0,0.10,3.29,0.24,0,0.05,0,0,0,0,0.00,0
Mmu-Mir-3075_pri,0.07,0,0,0.40,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0.07,0
Mmu-Mir-3079_pri,0.43,0,0,0.00,0.34,20.18,0,0.10,0.62,0,0,0.04,0.37,1.11,1.06,0,0.50,0
Mmu-Mir-3080_pri,0.02,0,0.85,0.20,0,0,0,0,0,0,0,0.01,0,0,0.00,0.00,0,0
Mmu-Mir-3081_pri,0.02,0,0,0.20,0.00,0.00,0,0.15,0.21,0,0,0.00,0,0,0.21,0,0.07,0
Mmu-Mir-3085_pri,0.11,0.43,0.28,0,0,0.72,0,0.04,0,0,0,0,0,0,0.43,0.41,0.00,0
Mmu-Mir-3086_pri,0.34,5.36,6.49,4.63,0,45.41,0,0.31,0.82,0,0.21,0.67,0,0.37,0.64,4.55,1.21,2.63
Mmu-Mir-3090_pri,0.02,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0.02,0
Mmu-Mir-3091_pri,0.16,0,0,0,0.00,0.72,0,0.06,0,0,0,0,0,0,0,0.00,0.23,0
Mmu-Mir-3092_pri,0.14,0,0,0,0.68,2.88,0,0.08,0,0,0,0.02,0,0,0,0,0.01,0
Mmu-Mir-3093_pri,0,3.22,2.82,2.42,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0
Mmu-Mir-3095_pri,0.09,15.86,0.56,0.20,50.15,23.07,0.43,0.61,1.65,0.71,2.50,0.17,4.11,3.32,7.87,2.07,0.36,5.27
Mmu-Mir-3098_pri,1.69,0,1.13,0.20,0,0,0,0.31,0,0,0,0.96,0,0,0.21,4.13,0.86,0
Mmu-Mir-3099_pri,0,34.94,48.23,11.48,0.34,3.60,0,0.06,0.21,0,0,0.14,0,0,2.55,19.01,0.01,0
Mmu-Mir-3101-v1_pri,0.00,0,0,0,0.68,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0
Mmu-Mir-3101-v2_pri,0.00,0,0,0,0.68,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0
Mmu-Mir-3105_pri,0,0.00,3.38,10.48,0.68,0,0,0.38,0.62,0.47,0.21,0,0,0.00,0,3.31,0,0
Mmu-Mir-3109_pri,0.25,0,0.00,0.00,1.69,2.16,0,0.23,0,0,0,0.04,0.37,0,0.21,0,0.04,2.63
Mmu-Mir-3110_pri,0.16,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0.21,0,0.18,0
Mmu-Mir-3112_pri,0.18,0,0,0,0,0.72,0,0,0.21,0,0,0,0,0,0.21,0,0.05,0
Mmu-Mir-5621_pri,0.07,0.21,0.28,0.20,0,0,0,0,0,0,0,0.15,0,0,0,0.41,0.02,0
Mmu-Mir-5626_pri,0.02,0,0.56,1.01,0,0,0,0,0,0,0,0,0,0,0,0.41,0.01,0
Mmu-Mir-6715_pri,0,0.64,0.56,0,0,0,0.21,0,0,0,0.42,0.02,1.50,0,0.43,1.24,0,0
Mmu-Mir-7211_pri,0,0.64,0,0.00,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
Mmu-Mir-7220_pri,0.00,0.43,1.41,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0.41,0,0
Mmu-Mir-7647_pri,0.05,0.21,0,0,0.68,1.44,0,0.00,0.21,0,0.42,0.02,0.37,0.37,0.21,0.00,0.01,2.63
